127.0.0.1 - - [18/May/2023:17:06:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:48 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:48 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:48 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:57 +0530] "GET /Student_Result_Managment_Syste/dgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:06:57 +0530] "GET /Student_Result_Managment_Syste/result.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:07:01 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:07:01 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [18/May/2023:17:07:14 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:07:14 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39136
0:0:0:0:0:0:0:1 - - [18/May/2023:17:07:14 +0530] "GET /Student_Result_Managment_Syste/rtmnu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:08:40 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/May/2023:17:09:46 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/May/2023:17:10:33 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/May/2023:17:11:08 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39136
0:0:0:0:0:0:0:1 - - [18/May/2023:17:11:31 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [18/May/2023:17:14:12 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:14:12 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39363
0:0:0:0:0:0:0:1 - - [18/May/2023:17:14:56 +0530] "GET /Student_Result_Managment_Syste/insertNewResult.jsp?rollNo=CA+62&s1=90&s2=98&s3=76&s4=96&s5=77&s6=62&s7=53 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2023:17:14:56 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39603
0:0:0:0:0:0:0:1 - - [18/May/2023:17:15:06 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [18/May/2023:17:15:06 +0530] "GET /Student_Result_Managment_Syste/print.png HTTP/1.1" 304 -
