127.0.0.1 - - [02/Jun/2023:15:21:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:21:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:13 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:13 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:20 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:20 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:27 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:28 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39603
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:22:28 +0530] "GET /Student_Result_Managment_Syste/rtmnu.png HTTP/1.1" 200 56118
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:23:31 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:23:31 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 39814
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:24:46 +0530] "GET /Student_Result_Managment_Syste/insertNewResult.jsp?rollNo=12345&s1=63&s2=65&s3=53&s4=62&s5=95&s6=50&s7=50 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:24:46 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:25:05 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [02/Jun/2023:15:25:05 +0530] "GET /Student_Result_Managment_Syste/print.png HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [02/Jun/2023:16:27:07 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:16:27:07 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:45:51 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:45:51 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:20:54 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:20:54 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:20:54 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:57 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:59 +0530] "GET /Student_Result_Managment_Syste/dgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:22:59 +0530] "GET /Student_Result_Managment_Syste/result.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2023:22:24:53 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 200 4536
