127.0.0.1 - - [31/Jul/2023:18:54:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:51 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:52 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:52 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:54:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:10 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:10 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:10 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:27 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:28 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:55:28 +0530] "GET /Student_Result_Managment_Syste/rtmnu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:56:08 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2023:18:56:08 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
