127.0.0.1 - - [28/Aug/2023:09:24:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:22 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:22 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:22 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:27 +0530] "GET /Student_Result_Managment_Syste/dgiOneView.html HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:27 +0530] "GET /Student_Result_Managment_Syste/result.png HTTP/1.1" 200 713512
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:38 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:38 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:57 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:57 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40278
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:24:57 +0530] "GET /Student_Result_Managment_Syste/rtmnu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:26:03 +0530] "GET /Student_Result_Managment_Syste/insertNewResult.jsp?rollNo=CA+01&s1=80&s2=89&s3=63&s4=88&s5=65&s6=60&s7=65 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:26:03 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40518
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:27:19 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:27:19 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40742
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:28:12 +0530] "GET /Student_Result_Managment_Syste/insertNewResult.jsp?rollNo=CA+02&s1=79&s2=96&s3=78&s4=85&s5=83&s6=70&s7=76 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:28:12 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40982
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:28:41 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:28:41 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:09:28:50 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 200 4533
