127.0.0.1 - - [07/Sep/2023:15:16:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:17:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:19:06 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:19:07 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 41454
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:20:57 +0530] "POST /Student_Result_Managment_Syste/addNewStudent.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:20:57 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 41683
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:22:51 +0530] "GET /Student_Result_Managment_Syste/insertNewResult.jsp?rollNo=CA+04&s1=90&s2=66&s3=99&s4=70&s5=80&s6=62&s7=90 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:22:51 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 41923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:23:43 +0530] "GET /Student_Result_Managment_Syste/result.png HTTP/1.1" 200 713512
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:02 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:02 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:13 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:13 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:25 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:25 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:39 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:24:39 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 41923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:25:30 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:25:30 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:25:39 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:25:39 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:28:00 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 200 4533
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:30:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
